Emp ID;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;promotion_last_5years;dept;salary
12783;0.72;1,00;4,00;245,00;5,00;0,00;0,00;sales;low
12782;0.91;0.96;4,00;232,00;5,00;0,00;0,00;sales;low
12781;0.44;0.65;3,00;271,00;4,00;0,00;0,00;sales;low
12780;0.11;0.9;7,00;247,00;4,00;0,00;0,00;sales;medium
12779;0.1;0.92;7,00;269,00;4,00;0,00;0,00;sales;medium
12778;0.11;0.93;6,00;294,00;4,00;0,00;0,00;sales;medium
12777;0.1;0.97;6,00;254,00;5,00;0,00;0,00;sales;medium
12776;0.39;0.57;2,00;158,00;3,00;0,00;0,00;sales;low
12775;0.38;0.5;2,00;152,00;3,00;0,00;0,00;sales;high
12774;0.42;0.54;2,00;159,00;3,00;0,00;0,00;sales;medium
12773;0.31;0.77;4,00;149,00;3,00;0,00;0,00;sales;medium
12772;0.1;0.86;6,00;309,00;4,00;0,00;0,00;sales;medium
12771;0.1;0.83;6,00;300,00;4,00;0,00;0,00;marketing;medium
12770;0.42;0.46;2,00;141,00;3,00;0,00;0,00;marketing;medium
12769;0.1;0.84;6,00;293,00;5,00;0,00;0,00;marketing;medium
12768;0.44;0.54;2,00;127,00;3,00;0,00;0,00;management;medium
12767;0.75;0.81;5,00;227,00;5,00;0,00;0,00;technical;medium
12766;0.09;0.87;3,00;214,00;2,00;0,00;0,00;support;medium
12765;0.83;0.99;4,00;223,00;5,00;0,00;0,00;accounting;medium
12764;0.39;0.46;2,00;159,00;3,00;0,00;0,00;sales;medium
12763;0.41;0.47;2,00;131,00;3,00;0,00;0,00;marketing;medium
12762;0.09;0.93;6,00;249,00;4,00;0,00;0,00;sales;low
12761;0.1;0.9;7,00;290,00;4,00;0,00;0,00;sales;low
12760;0.41;0.55;2,00;151,00;3,00;0,00;0,00;sales;low
12759;0.39;0.54;2,00;127,00;3,00;0,00;0,00;sales;low
12758;0.38;0.55;2,00;151,00;3,00;0,00;0,00;sales;low
12757;0.77;0.92;5,00;235,00;5,00;0,00;0,00;IT;low
12756;0.37;0.48;2,00;160,00;3,00;0,00;0,00;product_mng;low
12755;0.66;0.93;5,00;253,00;5,00;0,00;0,00;product_mng;low
12754;0.43;0.52;2,00;150,00;3,00;0,00;0,00;product_mng;low
12753;0.37;0.57;2,00;129,00;3,00;0,00;0,00;product_mng;low
12752;0.46;0.45;2,00;138,00;3,00;0,00;1,00;IT;low
12751;0.38;0.49;2,00;145,00;3,00;0,00;0,00;IT;low
12750;0.86;0.84;4,00;246,00;6,00;0,00;0,00;IT;low
12749;0.4;0.5;2,00;127,00;3,00;0,00;0,00;IT;low
12748;0.43;0.51;2,00;130,00;3,00;0,00;0,00;IT;low
12747;0.36;0.5;2,00;132,00;3,00;0,00;0,00;management;low
12746;0.11;0.78;6,00;245,00;4,00;0,00;0,00;technical;low
12745;0.39;0.52;2,00;134,00;3,00;0,00;0,00;technical;low
12744;0.11;0.9;6,00;301,00;4,00;0,00;0,00;technical;low
12743;0.44;0.49;2,00;154,00;3,00;0,00;0,00;support;low
12742;0.5;0.54;5,00;153,00;4,00;0,00;0,00;support;low
12741;0.1;0.89;7,00;291,00;4,00;0,00;0,00;support;medium
12740;0.11;0.85;7,00;275,00;4,00;0,00;0,00;support;medium
12739;0.11;0.87;6,00;257,00;4,00;0,00;0,00;support;medium
12738;0.42;0.56;2,00;143,00;3,00;0,00;0,00;support;medium
12737;0.81;0.91;4,00;229,00;5,00;0,00;0,00;support;low
12736;0.83;0.99;5,00;258,00;5,00;0,00;0,00;support;high
12735;0.11;0.92;7,00;255,00;4,00;0,00;0,00;support;medium
12734;0.38;0.45;2,00;129,00;3,00;0,00;0,00;support;medium
12733;0.85;0.58;3,00;226,00;2,00;0,00;0,00;support;medium
12732;0.79;0.94;4,00;232,00;5,00;0,00;0,00;technical;medium
12731;0.43;0.47;2,00;128,00;3,00;0,00;0,00;technical;medium
